Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000114812,VIPR1,0.1937814141064049,1.4793103942909238,0.1811138252519855,0.053920543099297606,-1.7280726651120677,0.1592226952917657,0.222563088704821,0.6521053240632253,0.7776393231433396,0.0,-0.28207121082206843,1.0
ENSG00000232354,VIPR1-AS1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000093183,SEC22C,0.11136862879678443,-0.22057983039812878,0.9816707031938213,0.11764482130755842,0.08671634664255867,1.0,0.222563088704821,1.2139842116713404,0.5955906965158803,0.16198604081902682,1.2765571420856259,1.0
ENSG00000008324,SS18L2,0.29067212115960733,-0.3478686521416565,0.8146642098542494,0.40685500702197286,0.5241790449174908,0.8522563459037337,0.05564077217620525,-1.5611165113816374,1.0,0.0,-1.146843830127845,1.0
ENSG00000114857,NKTR,0.40872286768419885,-0.779255639599009,0.41016195154123775,0.4901867554481601,0.08752510778168054,1.0,3.2271647862199044,2.8754621430807354,0.2811172035671995,0.32397208163805363,-0.16617209106226638,1.0
ENSG00000230084,AC006059.1,0.0022273725759356885,-1.9719007175414056,0.6976307146992867,0.0,-0.1511474834563291,1.0,0.1112815443524105,5.869336040283894,0.2811172035671995,0.0,4.965856302621518,1.0
ENSG00000244607,CCDC13,0.0,-3.9719007175414056,0.17229169780706818,0.009803735108963202,2.7557431121521887,0.7605761658846636,0.0,3.869336040283894,1.0,0.16198604081902682,6.702821896787723,0.7238549527807076
ENSG00000173811,CCDC13-AS1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000181061,HIGD1A,0.020046353183421194,-1.0459012989851812,0.6716899353178838,0.044116807990334406,1.24478119287481,0.7107427367486784,0.0,1.0619811182262904,1.0,0.0,2.4804294754512757,1.0
ENSG00000144648,ACKR2,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000182983,ZNF662,0.00779580401577491,0.028099282458594388,1.0,0.004901867554481601,0.17078061143103263,1.0,0.0,2.699411038841582,1.0,0.0,4.117859396066567,1.0
ENSG00000144647,POMGNT2,0.025614784623260417,-0.38693821682024865,1.0,0.034313072881371205,0.5858181107098765,1.0,0.0,0.9151397298970192,1.0,0.0,2.3335880871220045,1.0
ENSG00000163788,SNRK,0.24723835592886143,-0.41892833106468563,0.7728568422202797,0.26960271549648807,0.0533230298828562,1.0,1.112815443524105,2.1427123903391467,0.2811172035671995,0.0,-0.9313841229532818,1.0
ENSG00000234617,SNRK-AS1,0.006682117727807065,-0.7495082962049571,1.0,0.009803735108963202,0.948388190094585,1.0,0.0,2.699411038841582,1.0,0.0,4.117859396066567,1.0
ENSG00000160746,ANO10,0.0378653337909067,0.15738229940356163,1.0,0.019607470217926404,-0.75521880712519,1.0,0.1112815443524105,2.132370446117688,0.5267369062767302,0.16198604081902682,2.9302323928907965,1.0
ENSG00000011198,ABHD5,0.03452427492700317,-1.2938288124287673,0.26816932210420186,0.08823361598066881,1.3743140055161644,0.29037491078979316,0.05564077217620525,1.2254798505091693,0.9683818412755806,0.0,1.6153590555373842,1.0
ENSG00000271937,AC104187.1,0.0011136862879678442,-1.9719007175414056,0.8229532678955387,0.004901867554481601,2.1707806114310326,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
ENSG00000179152,TCAIM,0.041206392654810235,-0.3089357048189756,1.0,0.034313072881371205,-0.22153681134772718,1.0,0.1112815443524105,1.899709689327413,0.5741397805660113,0.32397208163805363,3.3181580465523988,1.0
ENSG00000185219,ZNF445,0.09466333447726676,-0.18949215261403163,1.0,0.08333174842618721,-0.1984531982346862,1.0,0.3338446330572315,1.976251244200406,0.3818171664727302,0.16198604081902682,1.5196000727319534,1.0
