Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000100916,BRMS1L,0.012705064160963182,-1.547979762350984,1.0,0.0,1.9624454446753763,1.0,0.0,3.3808938019003616,1.0
ENSG00000151332,MBIP,0.06715533913651968,0.7739483325363783,1.0,0.0,-0.35948265021198633,1.0,0.0,1.058965707012999,1.0
ENSG00000198807,PAX9,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000151338,MIPOL1,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000259070,LINC00639,0.0,-6.454870357959502,0.302013439155618,0.05564077217620525,6.869336040283894,0.2811172035671995,0.0,6.287784397508879,1.0
ENSG00000100934,SEC23A,0.08893544912674227,-1.4104762386010488,0.5013353315911176,0.2782038608810263,1.8249419209254403,0.40700682450118614,0.0,0.5873446793677877,1.0
ENSG00000092208,GEMIN2,0.03811519248288955,-1.6135681039785608,0.6493649144155945,0.1112815443524105,2.028033786302952,0.544966227889206,0.0,1.7959313011792046,1.0
ENSG00000182400,TRAPPC6B,0.07260036663407532,-2.43694844996224,0.302013439155618,0.3894854052334368,2.494296608936969,0.29552975949270505,0.32397208163805363,2.413315279592739,1.0
ENSG00000285830,AL109628.2,0.006352532080481591,-2.4548703579595026,1.0,0.0,2.869336040283894,1.0,0.0,4.287784397508879,1.0
ENSG00000100941,PNN,0.4528447868800448,-1.3959766689059339,0.3619204342243342,1.6135823931099522,1.8104423512303254,0.3073840872125589,0.0,-1.759339514605146,1.0
ENSG00000150527,MIA2,0.12795814619255777,-0.30512323845482037,0.9559864491524063,0.16692231652861575,0.7195889207792123,0.8166353226154455,0.0,0.10787530749394536,1.0
ENSG00000258940,AL132639.2,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000165355,FBXO33,0.10799304536818705,-1.547979762350984,0.42472282703298175,0.3894854052334368,1.9624454446753754,0.3484928776886138,0.0,0.29909971073671393,1.0
ENSG00000258526,AL049828.1,0.0027225137487778247,-3.4548703579595017,1.0,0.0,3.869336040283894,1.0,0.0,5.287784397508879,1.0
ENSG00000251363,LINC02315,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000179476,C14orf28,0.03176266040240795,-1.2849453565171896,0.9391179685369582,0.05564077217620525,1.6994110388415815,0.8439848594861842,0.0,2.07833103187993,1.0
ENSG00000179454,KLHL28,0.14701574243400253,-0.691104704449581,0.7331358666901343,0.2782038608810263,1.1055703867739726,0.5909765012048672,0.0,-0.1045330252698804,1.0
ENSG00000198718,TOGARAM1,0.05717278872433432,-1.4548703579595026,0.5883472575348411,0.16692231652861575,1.8693360402838937,0.4845935264694369,0.0,1.2216952070511073,1.0
ENSG00000249163,AL121809.1,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000185246,PRPF39,0.059895302473112144,-1.9737436682228857,0.4002103996067943,0.2782038608810263,2.3882093505472777,0.3393658001820934,0.0,1.1178593960665673,1.0
ENSG00000100442,FKBP3,0.18240842116811426,2.2033411247922925,0.8358182353341492,0.0,-1.7888754424679,1.0,0.0,-0.3704270852429148,1.0
