Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000129007,CALML4,0.008909490303742754,1.1980242839009074,0.8436183746894914,0.0,-0.9991443900112795,1.0,0.0,2.726006498442972,1.0,0.0,4.117859396066567,1.0,0.0,6.544881744593397,1.0
ENSG00000128973,CLN6,0.05345694182245652,-0.2640814690347155,0.9770428557964399,0.0637242782082608,0.33427934371391244,1.0,0.0,-0.08134842361463157,1.0,0.16198604081902682,2.3335880871220045,1.0,0.0,3.7375268225357927,1.0
ENSG00000169018,FEM1B,0.07461698129384556,-0.05436287773337822,1.0,0.05882241065377921,-0.31860422930789234,1.0,0.22686525676959066,1.8780095918880224,0.44528481829465855,0.16198604081902682,1.8954669747301196,1.0,0.0,3.305415809898007,1.0
ENSG00000137809,ITGA11,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000140350,ANP32A,0.5490473399681473,0.045729176480386546,1.0,0.5588129012109024,0.047603869180199765,1.0,0.2835815709619883,-0.7717714318438073,1.0,0.32397208163805363,-0.38699636546074556,1.0,0.0,0.4503641458091069,1.0
ENSG00000258484,SPESP1,0.004454745151871377,-0.649972622654043,1.0,0.004901867554481601,0.8488525165436709,1.0,0.0,3.310968999164129,1.0,0.0,4.702821896787723,1.0,0.0,7.129844245314553,1.0
ENSG00000255346,NOX5,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000138604,GLCE,0.030069529775131793,-0.6239774141210983,0.8229532678955387,0.034313072881371205,0.2165843010441577,1.0,0.11343262838479533,2.3109689991641282,0.5054471680043144,0.16198604081902682,3.07833103187993,1.0,0.0,4.466879232592124,1.0
ENSG00000137818,RPLP1,64.36104426794968,0.2479310503676997,0.9503686747420461,59.10181710438466,-0.09875982555479901,1.0,4.537305135391813,-3.861695147581622,0.872837939524624,43.25027289868016,-0.7397502967707323,1.0,2.934092270820851,-5.384294456855834,1.0
ENSG00000245750,DRAIC,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000140332,TLE3,0.09132227561336323,-0.24071747596920456,0.9674952424483532,0.05882241065377921,-0.698635278758823,1.0,0.510446827731579,2.6031497506574395,0.3171983183463661,0.4859581224570805,2.5873446793677877,1.0,0.0,2.973339759634562,1.0
ENSG00000137831,UACA,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000066933,MYO9A,0.0579116869743279,-0.8289427636993616,0.6710723525400104,0.08333174842618721,0.45806256351150365,1.0,0.2835815709619883,2.331146881101759,0.3499019391893402,0.16198604081902682,2.058965707012999,1.0,0.0,3.4668792325921234,1.0
ENSG00000166192,SENP8,0.005568431439839221,-0.38693821682024865,1.0,0.004901867554481601,0.5858181107098765,1.0,0.0,3.0885765778276806,1.0,0.0,4.480429475451276,1.0,0.0,6.907451823978105,1.0
ENSG00000067225,PKM,1.258465505403664,-0.28794912218888175,0.8229532678955387,1.5440882796617041,0.2859725139007876,1.0,1.2477589122327486,-0.0922591978250818,0.9580262001934206,2.2678045714663755,0.6750387402741855,1.0,0.0,-0.8185229862701248,1.0
ENSG00000137817,PARP6,0.1058001973569452,0.0894998271227383,1.0,0.09803735108963202,-0.05161180990541503,1.0,0.11343262838479533,0.622913005478869,0.9478464855096954,0.0,0.4051413481470387,1.0,0.0,2.8321636966738675,1.0
ENSG00000261460,AC009690.2,0.005568431439839221,-1.3869382168202486,0.7400993338155729,0.009803735108963202,0.948388190094585,1.0,0.056716314192397664,3.895931499885285,0.4154833814319394,0.0,4.117859396066567,1.0,0.0,6.544881744593397,1.0
ENSG00000140488,CELF6,0.005568431439839221,-0.38693821682024865,1.0,0.004901867554481601,0.5858181107098765,1.0,0.0,3.0885765778276806,1.0,0.0,4.480429475451276,1.0,0.0,6.907451823978105,1.0
ENSG00000213614,HEXA,0.23498780676121514,-0.8586901070934139,0.3486856903285521,0.3676400665861201,0.5483434052912137,0.8522563459037337,0.6805957703087719,1.3820520972256114,0.428771455915776,1.4578743673712413,2.3808938019003616,1.0,2.934092270820851,2.4480202053408076,0.8979245289538715
ENSG00000260339,HEXA-AS1,0.004454745151871377,0.350027377345957,1.0,0.0,-0.1511474834563291,1.0,0.0,3.5740034049979226,1.0,0.0,4.965856302621518,1.0,0.0,7.392878651148347,1.0
ENSG00000261423,TMEM202-AS1,0.011136862879678442,-0.83439719379147,0.9405689479505887,0.014705602663444802,0.5858181107098765,1.0,0.0,1.9890409042767665,1.0,0.16198604081902682,4.480429475451276,1.0,0.0,5.80791615042719,1.0
ENSG00000166233,ARIH1,0.307377415479125,-0.487515171571826,0.6716899353178838,0.32842512615026725,-0.008543088013529099,1.0,1.644773111579532,2.368193867857079,0.30268429571814753,0.16198604081902682,-0.2591100623787568,1.0,2.934092270820851,2.167912286148072,0.9273527778568144
ENSG00000175202,HIGD2B,0.0022273725759356885,-0.38693821682024954,1.0,0.0,0.5858181107098765,1.0,0.0,4.310968999164129,1.0,0.0,5.702821896787723,1.0,0.0,8.129844245314553,1.0
ENSG00000140463,BBS4,0.03675164750293886,-0.4694003770122217,0.9050321384499649,0.029411205326889605,-0.30726668537361146,1.0,0.2835815709619883,3.1589659057190786,0.3231533094276265,0.0,1.7959313011792046,1.0,0.0,4.222953649706034,1.0
ENSG00000159322,ADPGK,0.18487192380266215,-0.3161168796305516,0.8525978609498502,0.21078030484270882,0.17078061143103307,1.0,0.4537305135391813,1.3447573126204124,0.4630552645918053,0.16198604081902682,0.5196000727319534,1.0,0.0,1.9400196864345354,1.0
