Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000049247,UTS2,0.0036097949504519337,-3.5474079453965324,1.0,0.0,3.5474079453965324,1.0
ENSG00000049249,TNFRSF9,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000116288,PARK7,0.9349368921670509,1.5639016378081756,1.0,0.2782038608810263,-1.5639016378081756,1.0
ENSG00000162426,SLC45A1,0.0027073462128389503,-3.869336040283894,1.0,0.0,3.869336040283894,1.0
ENSG00000142599,RERE,0.17687995257214476,-2.1541748164360364,0.2815249357587818,0.7789708104668736,2.1541748164360364,0.2815249357587818
ENSG00000232912,RERE-AS1,0.0054146924256779005,-3.0619811182262904,1.0,0.0,3.0619811182262904,1.0
ENSG00000228423,AL357552.2,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000074800,ENO1,1.188524987436299,0.6874436926665536,1.0,0.7233300382906682,-0.6874436926665536,1.0
ENSG00000230679,ENO1-AS1,0.0036097949504519337,-3.5474079453965324,1.0,0.0,3.5474079453965324,1.0
ENSG00000131686,CA6,0.007219589900903867,-2.699411038841582,1.0,0.0,2.699411038841582,1.0
ENSG00000142583,SLC2A5,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000180758,GPR157,0.031585705816454424,-1.6994110388415815,0.8363630405852254,0.05564077217620525,1.6994110388415815,0.8363630405852254
ENSG00000049239,H6PD,0.05504937299439199,-2.722494651954623,0.30874057664209714,0.3338446330572315,2.722494651954623,0.30874057664209714
ENSG00000171621,SPSB1,0.009024487376129835,-3.4099044216465972,0.5194079579383498,0.05564077217620525,3.4099044216465972,0.5194079579383498
ENSG00000171612,SLC25A33,0.06136651415768287,-0.7608115835057254,1.0,0.05564077217620525,0.7608115835057254,1.0
ENSG00000188807,TMEM201,0.009926936113742818,-2.284373539562738,1.0,0.0,2.284373539562738,1.0
ENSG00000171608,PIK3CD,0.434077842791845,-1.4800086601109455,0.3548018099152325,1.2240969878765156,1.4800086601109455,0.3548018099152325
ENSG00000179840,PIK3CD-AS1,0.009926936113742818,-2.284373539562738,1.0,0.0,2.284373539562738,1.0
ENSG00000231789,PIK3CD-AS2,0.01804897475225967,-1.4770186175051343,1.0,0.0,1.4770186175051343,1.0
ENSG00000171603,CLSTN1,0.14078200306762542,-1.1596777921134231,0.5686372426837476,0.2782038608810263,1.1596777921134231,0.5686372426837476
ENSG00000178585,CTNNBIP1,0.056854270469617954,-1.8693360402838937,0.4764837341392258,0.16692231652861575,1.8693360402838937,0.4764837341392258
ENSG00000162441,LZIC,0.11190364346400995,0.09644824437819288,1.0,0.05564077217620525,-0.09644824437819288,1.0
ENSG00000228150,AL357140.2,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000173614,NMNAT1,0.015341628539420718,-3.2843735395627376,0.3716843004601423,0.1112815443524105,3.2843735395627376,0.3716843004601423
ENSG00000130939,UBE4B,0.08753752754845939,-1.8395886968898418,0.4161841139677748,0.2782038608810263,1.8395886968898418,0.4161841139677748
ENSG00000054523,KIF1B,0.022561218440324587,-1.1688963221428024,1.0,0.0,1.1688963221428024,1.0
ENSG00000142657,PGD,0.15341628539420718,-0.7734116202853589,0.7406174652551359,0.222563088704821,0.7734116202853589,0.7406174652551359
ENSG00000271989,AL139424.1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000175279,CENPS,0.029780808341228454,-1.7818731990335546,0.7718216069751184,0.05564077217620525,1.7818731990335546,0.7718216069751184
ENSG00000160049,DFFA,0.10829384851355801,-0.5354353037304556,0.9646137566443784,0.1112815443524105,0.5354353037304556,0.9646137566443784
ENSG00000203469,AL354956.1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
